(2020-12-01 20:40:44,707) [START] Task-0_M3 Started Execution
(2020-12-01 23:53:18,798) [FINISH] TASK 45_M1 Finished execution. Total duration - 3002.765
(2020-12-01 23:53:18,809) [START] Task-45_R0 Started Execution
(2020-12-01 23:53:18,832) [FINISH] TASK 46_M1 Finished execution. Total duration - 1001.269
(2020-12-01 23:53:18,881) [START] Task-47_M1 Started Execution
(2020-12-01 23:53:20,844) [START] Task-46_R0 Started Execution
(2020-12-01 23:53:20,884) [FINISH] TASK 47_M1 Finished execution. Total duration - 2002.231
(2020-12-01 23:53:21,295) [START] Task-50_M0 Started Execution
(2020-12-01 23:53:21,812) [FINISH] TASK 45_R0 Finished execution. Total duration - 3002.850
(2020-12-01 23:53:21,846) [FINISH] TASK 46_R0 Finished execution. Total duration - 1001.216
(2020-12-01 23:53:23,041) [START] Task-51_M0 Started Execution
(2020-12-01 23:53:25,298) [FINISH] TASK 50_M0 Finished execution. Total duration - 4002.730
(2020-12-01 23:53:25,309) [START] Task-50_R0 Started Execution
(2020-12-01 23:53:27,046) [FINISH] TASK 51_M0 Finished execution. Total duration - 4004.664
(2020-12-01 23:53:28,312) [FINISH] TASK 50_R0 Finished execution. Total duration - 3002.459
(2020-12-01 23:53:28,498) [START] Task-53_M0 Started Execution
(2020-12-01 23:53:29,500) [FINISH] TASK 53_M0 Finished execution. Total duration - 1001.345
(2020-12-01 23:53:29,770) [START] Task-52_R0 Started Execution
(2020-12-01 23:53:30,861) [START] Task-56_M0 Started Execution
(2020-12-01 23:53:31,772) [FINISH] TASK 52_R0 Finished execution. Total duration - 2001.975
(2020-12-01 23:53:31,863) [FINISH] TASK 56_M0 Finished execution. Total duration - 1001.218
(2020-12-01 23:53:31,998) [START] Task-55_R0 Started Execution
(2020-12-01 23:53:33,000) [FINISH] TASK 55_R0 Finished execution. Total duration - 1001.209
(2020-12-01 23:53:34,942) [START] Task-57_R0 Started Execution
(2020-12-01 23:53:37,164) [START] Task-58_R0 Started Execution
(2020-12-01 23:53:38,312) [START] Task-59_M2 Started Execution
(2020-12-01 23:53:38,474) [START] Task-61_M0 Started Execution
(2020-12-01 23:53:38,476) [START] Task-61_M3 Started Execution
(2020-12-01 23:53:38,946) [FINISH] TASK 57_R0 Finished execution. Total duration - 4003.647
(2020-12-01 23:53:39,167) [FINISH] TASK 58_R0 Finished execution. Total duration - 2002.260
(2020-12-01 23:53:40,478) [FINISH] TASK 61_M3 Finished execution. Total duration - 2002.176
(2020-12-01 23:53:40,737) [START] Task-63_M0 Started Execution
(2020-12-01 23:53:40,739) [START] Task-63_M3 Started Execution
(2020-12-01 23:53:40,995) [START] Task-64_M1 Started Execution
(2020-12-01 23:53:41,316) [FINISH] TASK 59_M2 Finished execution. Total duration - 3003.280
(2020-12-01 23:53:41,921) [START] Task-65_M0 Started Execution
(2020-12-01 23:53:42,479) [FINISH] TASK 61_M0 Finished execution. Total duration - 4004.202
(2020-12-01 23:53:42,490) [START] Task-61_R0 Started Execution
(2020-12-01 23:53:43,742) [FINISH] TASK 63_M3 Finished execution. Total duration - 3002.603
