(2020-12-01 16:00:14,533) [START] Task-0_M0 Started Execution
(2020-12-01 16:05:02,060) [START] Task-8_M2 Started Execution
(2020-12-01 16:05:02,281) [START] Task-9_M2 Started Execution
(2020-12-01 16:05:54,475) [START] Task-1_M0 Started Execution
(2020-12-01 16:05:57,478) [FINISH] TASK 1_M0 Finished execution. Total duration - 3002.8419999999996
(2020-12-01 16:05:57,485) [START] Task-1_R1 Started Execution
(2020-12-01 16:05:58,378) [START] Task-3_M0 Started Execution
(2020-12-01 16:05:58,379) [START] Task-3_M1 Started Execution
(2020-12-01 16:05:58,379) [START] Task-3_M2 Started Execution
(2020-12-01 16:05:59,660) [START] Task-4_M0 Started Execution
(2020-12-01 16:05:59,661) [START] Task-4_M1 Started Execution
(2020-12-01 16:05:59,846) [START] Task-5_M1 Started Execution
(2020-12-01 16:06:00,381) [FINISH] TASK 3_M1 Finished execution. Total duration - 2002.2060000000001
(2020-12-01 16:06:00,381) [FINISH] TASK 3_M2 Finished execution. Total duration - 2002.0159999999998
(2020-12-01 16:06:01,381) [FINISH] TASK 3_M0 Finished execution. Total duration - 3003.0969999999998
(2020-12-01 16:06:01,490) [FINISH] TASK 1_R1 Finished execution. Total duration - 4004.8450000000003
(2020-12-01 16:06:01,663) [FINISH] TASK 4_M0 Finished execution. Total duration - 2002.35
(2020-12-01 16:06:02,406) [START] Task-8_M0 Started Execution
(2020-12-01 16:06:02,407) [START] Task-8_M1 Started Execution
(2020-12-01 16:06:03,407) [FINISH] TASK 8_M1 Finished execution. Total duration - 1000.2629999999999
(2020-12-01 16:06:03,666) [FINISH] TASK 4_M1 Finished execution. Total duration - 4004.232
(2020-12-01 16:06:03,672) [START] Task-4_R0 Started Execution
(2020-12-01 16:06:03,673) [START] Task-4_R1 Started Execution
(2020-12-01 16:06:03,851) [FINISH] TASK 5_M1 Finished execution. Total duration - 4004.232
(2020-12-01 16:06:04,855) [START] Task-9_M1 Started Execution
(2020-12-01 16:06:04,858) [START] Task-9_M3 Started Execution
(2020-12-01 16:06:05,165) [START] Task-6_R0 Started Execution
(2020-12-01 16:06:05,411) [FINISH] TASK 8_M0 Finished execution. Total duration - 3004.983
(2020-12-01 16:06:05,675) [FINISH] TASK 4_R1 Finished execution. Total duration - 2001.884
(2020-12-01 16:06:06,418) [START] Task-8_R0 Started Execution
(2020-12-01 16:06:06,861) [FINISH] TASK 9_M3 Finished execution. Total duration - 2002.4479999999999
(2020-12-01 16:06:07,677) [FINISH] TASK 4_R0 Finished execution. Total duration - 4004.672
(2020-12-01 16:06:07,860) [FINISH] TASK 9_M1 Finished execution. Total duration - 3004.372
(2020-12-01 16:06:07,877) [START] Task-9_R0 Started Execution
(2020-12-01 16:06:07,878) [START] Task-9_R1 Started Execution
(2020-12-01 16:06:08,169) [FINISH] TASK 6_R0 Finished execution. Total duration - 3003.1780000000003
(2020-12-01 16:06:08,879) [FINISH] TASK 9_R0 Finished execution. Total duration - 1001.3870000000001
(2020-12-01 16:06:09,423) [FINISH] TASK 8_R0 Finished execution. Total duration - 3004.465
(2020-12-01 16:06:11,883) [FINISH] TASK 9_R1 Finished execution. Total duration - 4005.4429999999998
(2020-12-01 16:08:05,908) [START] Task-0_M0 Started Execution
(2020-12-01 16:08:05,908) [START] Task-0_M2 Started Execution
(2020-12-01 16:08:06,524) [START] Task-1_M0 Started Execution
(2020-12-01 16:08:06,842) [START] Task-2_M0 Started Execution
(2020-12-01 16:08:06,911) [FINISH] TASK 0_M0 Finished execution. Total duration - 1002.725
(2020-12-01 16:08:06,976) [START] Task-3_M1 Started Execution
(2020-12-01 16:08:08,142) [START] Task-4_M0 Started Execution
(2020-12-01 16:08:08,384) [START] Task-5_M3 Started Execution
(2020-12-01 16:08:08,525) [FINISH] TASK 1_M0 Finished execution. Total duration - 2001.390
(2020-12-01 16:08:08,538) [START] Task-1_R1 Started Execution
(2020-12-01 16:08:08,767) [START] Task-6_M0 Started Execution
(2020-12-01 16:08:09,912) [FINISH] TASK 0_M2 Finished execution. Total duration - 4003.816
(2020-12-01 16:08:09,913) [START] Task-7_M1 Started Execution
(2020-12-01 16:08:10,144) [FINISH] TASK 4_M0 Finished execution. Total duration - 2001.860
(2020-12-01 16:08:10,145) [START] Task-0_R0 Started Execution
(2020-12-01 16:08:10,540) [FINISH] TASK 1_R1 Finished execution. Total duration - 2001.160
(2020-12-01 16:08:10,770) [FINISH] TASK 6_M0 Finished execution. Total duration - 2002.247
(2020-12-01 16:08:10,846) [FINISH] TASK 2_M0 Finished execution. Total duration - 4004.616
(2020-12-01 16:08:10,853) [START] Task-2_R0 Started Execution
(2020-12-01 16:08:10,855) [START] Task-2_R1 Started Execution
(2020-12-01 16:08:10,856) [START] Task-8_M0 Started Execution
(2020-12-01 16:08:10,914) [FINISH] TASK 7_M1 Finished execution. Total duration - 1001.236
(2020-12-01 16:08:10,915) [START] Task-8_M1 Started Execution
(2020-12-01 16:08:10,981) [FINISH] TASK 3_M1 Finished execution. Total duration - 4005.127
(2020-12-01 16:08:10,987) [START] Task-3_R0 Started Execution
(2020-12-01 16:08:11,858) [FINISH] TASK 8_M0 Finished execution. Total duration - 1002.365
(2020-12-01 16:08:11,862) [START] Task-9_M0 Started Execution
(2020-12-01 16:08:12,389) [FINISH] TASK 5_M3 Finished execution. Total duration - 4004.642
(2020-12-01 16:08:12,391) [START] Task-9_M2 Started Execution
(2020-12-01 16:08:12,858) [FINISH] TASK 2_R1 Finished execution. Total duration - 2002.748
(2020-12-01 16:08:12,918) [FINISH] TASK 8_M1 Finished execution. Total duration - 2002.522
(2020-12-01 16:08:12,925) [START] Task-8_R0 Started Execution
(2020-12-01 16:08:12,991) [FINISH] TASK 3_R0 Finished execution. Total duration - 2003.234
(2020-12-01 16:08:13,149) [FINISH] TASK 0_R0 Finished execution. Total duration - 3003.540
(2020-12-01 16:08:13,865) [FINISH] TASK 9_M0 Finished execution. Total duration - 2002.378
(2020-12-01 16:08:14,857) [FINISH] TASK 2_R0 Finished execution. Total duration - 4003.664
(2020-12-01 16:08:15,931) [FINISH] TASK 8_R0 Finished execution. Total duration - 3005.240
(2020-12-01 16:08:16,396) [FINISH] TASK 9_M2 Finished execution. Total duration - 4004.527
